Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     Egz
Vardas59            Pavarde59           7       2       9       3       1       10
Vardas60            Pavarde60           8       4       6       8       4       2
Vardas61            Pavarde61           5       2       4       6       5       7
Vardas62            Pavarde62           7       9       4       6       8       10
Vardas63            Pavarde63           1       6       10      8       1       5
Vardas64            Pavarde64           1       1       7       9       9       10
Vardas65            Pavarde65           5       1       10      9       1       3
Vardas66            Pavarde66           8       5       1       1       3       8
Vardas67            Pavarde67           3       2       6       4       5       6
Vardas68            Pavarde68           10      1       8       3       1       8
Vardas69            Pavarde69           1       7       8       8       1       8
Vardas70            Pavarde70           6       5       3       6       9       3
Vardas71            Pavarde71           10      1       8       6       6       6
Vardas72            Pavarde72           4       7       8       9       3       8
Vardas73            Pavarde73           7       4       9       10      4       7
Vardas74            Pavarde74           1       9       6       3       5       1
Vardas75            Pavarde75           3       3       8       1       8       10
Vardas76            Pavarde76           3       4       1       10      6       2
Vardas77            Pavarde77           5       1       1       3       6       7
Vardas78            Pavarde78           6       10      5       7       7       2
Vardas79            Pavarde79           10      3       6       6       3       4
Vardas80            Pavarde80           1       1       10      3       1       2
Vardas81            Pavarde81           9       4       9       6       5       9
Vardas82            Pavarde82           1       8       6       3       10      2
Vardas83            Pavarde83           10      2       6       7       7       3
Vardas84            Pavarde84           6       6       3       2       6       3
Vardas85            Pavarde85           3       10      4       5       4       8
Vardas86            Pavarde86           2       1       1       2       6       10
Vardas87            Pavarde87           5       3       10      7       4       1
Vardas88            Pavarde88           7       7       9       7       9       8
Vardas89            Pavarde89           3       2       6       1       7       6
Vardas90            Pavarde90           4       4       9       5       2       3
Vardas91            Pavarde91           4       7       6       8       2       7
Vardas92            Pavarde92           4       8       1       4       7       1
Vardas93            Pavarde93           10      3       8       7       10      7
Vardas94            Pavarde94           3       8       8       4       8       8
Vardas95            Pavarde95           6       2       2       10      3       7
Vardas96            Pavarde96           2       8       9       3       2       4
Vardas97            Pavarde97           10      2       9       6       8       5
Vardas98            Pavarde98           2       5       10      3       10      10
Vardas99            Pavarde99           7       2       3       2       7       3
Vardas100           Pavarde100          4       5       1       6       8       4
Vardas101           Pavarde101          7       10      7       7       7       4
Vardas102           Pavarde102          6       1       3       10      1       6
Vardas103           Pavarde103          2       8       3       6       7       9
Vardas104           Pavarde104          6       2       4       10      3       7
Vardas105           Pavarde105          1       3       2       7       1       8
Vardas106           Pavarde106          1       4       2       4       5       3
Vardas107           Pavarde107          7       10      8       6       1       4
Vardas108           Pavarde108          2       3       6       2       9       5
Vardas109           Pavarde109          4       9       10      2       5       9
Vardas110           Pavarde110          10      5       3       2       1       3
Vardas111           Pavarde111          2       7       9       2       1       9
Vardas112           Pavarde112          4       9       2       1       5       8
Vardas113           Pavarde113          6       4       7       1       9       1
Vardas114           Pavarde114          9       2       3       10      2       2
Vardas115           Pavarde115          4       7       4       7       3       4
Vardas116           Pavarde116          7       4       9       5       6       5
Vardas117           Pavarde117          3       6       4       10      6       9
Vardas118           Pavarde118          5       3       7       7       9       3
Vardas119           Pavarde119          3       9       5       5       5       4
Vardas120           Pavarde120          5       9       9       5       5       6
Vardas121           Pavarde121          5       2       7       9       3       8
Vardas122           Pavarde122          7       1       4       9       8       7
Vardas123           Pavarde123          8       9       6       8       3       3
Vardas124           Pavarde124          10      9       9       6       3       10
Vardas125           Pavarde125          9       6       5       6       5       3
Vardas126           Pavarde126          6       3       6       2       1       7
Vardas127           Pavarde127          6       8       6       7       10      3
Vardas128           Pavarde128          6       8       9       5       9       7
Vardas129           Pavarde129          5       1       6       8       6       6
Vardas130           Pavarde130          1       3       3       2       2       6
Vardas131           Pavarde131          5       7       5       7       9       10
Vardas132           Pavarde132          5       5       7       1       8       8
Vardas133           Pavarde133          7       3       6       4       1       1
Vardas134           Pavarde134          4       7       7       7       2       3
Vardas135           Pavarde135          10      1       10      1       9       7
Vardas136           Pavarde136          9       8       6       8       4       5
Vardas137           Pavarde137          2       8       2       1       7       8
Vardas138           Pavarde138          1       7       9       9       3       6
Vardas139           Pavarde139          10      3       8       8       9       6
Vardas140           Pavarde140          8       9       8       3       2       8
Vardas141           Pavarde141          10      5       2       10      8       10
Vardas142           Pavarde142          8       8       6       4       5       6
Vardas143           Pavarde143          2       4       1       3       10      9
Vardas144           Pavarde144          5       9       9       3       5       3
Vardas145           Pavarde145          8       3       8       5       9       5
Vardas146           Pavarde146          7       5       7       8       5       1
Vardas147           Pavarde147          7       6       5       2       8       10
Vardas148           Pavarde148          8       1       5       5       3       3
Vardas149           Pavarde149          4       3       7       10      5       7
Vardas150           Pavarde150          1       5       1       4       9       8
Vardas151           Pavarde151          7       9       6       8       7       7
Vardas152           Pavarde152          3       9       6       7       7       2
Vardas153           Pavarde153          6       8       8       3       3       2
Vardas154           Pavarde154          7       4       7       5       1       6
Vardas155           Pavarde155          9       7       9       3       3       10
Vardas156           Pavarde156          7       5       5       3       3       5
Vardas157           Pavarde157          4       8       10      5       4       3
Vardas158           Pavarde158          1       3       7       7       8       9
Vardas159           Pavarde159          2       7       6       4       7       10
Vardas160           Pavarde160          5       10      2       9       9       8
Vardas161           Pavarde161          3       1       3       6       3       5
Vardas162           Pavarde162          9       10      3       10      9       5
Vardas163           Pavarde163          4       1       2       10      10      8
Vardas164           Pavarde164          3       10      8       10      10      4
Vardas165           Pavarde165          9       4       8       9       8       5
Vardas166           Pavarde166          2       8       9       2       3       10
Vardas167           Pavarde167          4       3       7       9       7       6
Vardas168           Pavarde168          10      4       10      1       8       6
Vardas169           Pavarde169          9       7       1       7       4       5
Vardas170           Pavarde170          7       10      6       1       10      4
Vardas171           Pavarde171          9       10      2       10      3       3
Vardas172           Pavarde172          5       8       9       5       10      3
Vardas173           Pavarde173          10      10      3       7       6       2
Vardas174           Pavarde174          7       2       10      5       5       7
Vardas175           Pavarde175          1       2       4       8       9       3
Vardas176           Pavarde176          4       9       2       6       9       10
Vardas177           Pavarde177          4       1       6       1       6       9
Vardas178           Pavarde178          4       9       3       3       1       1
Vardas179           Pavarde179          8       8       3       1       2       10
Vardas180           Pavarde180          1       5       6       2       9       7
Vardas181           Pavarde181          4       8       4       3       4       9
Vardas182           Pavarde182          6       6       9       5       10      8
Vardas183           Pavarde183          4       5       5       4       8       6
Vardas184           Pavarde184          6       5       2       5       6       10
Vardas185           Pavarde185          6       10      9       3       3       7
Vardas186           Pavarde186          2       8       5       10      8       9
Vardas187           Pavarde187          9       7       7       1       6       2
Vardas188           Pavarde188          1       4       5       9       5       4
Vardas189           Pavarde189          10      4       5       5       8       5
Vardas190           Pavarde190          2       4       7       6       2       2
Vardas191           Pavarde191          10      10      2       5       3       3
Vardas192           Pavarde192          3       2       2       10      10      10
Vardas193           Pavarde193          6       1       10      6       6       8
Vardas194           Pavarde194          5       4       6       6       8       10
Vardas195           Pavarde195          4       8       9       7       3       4
Vardas196           Pavarde196          10      5       7       7       9       2
Vardas197           Pavarde197          3       9       1       5       8       8
Vardas198           Pavarde198          5       7       9       6       7       1
Vardas199           Pavarde199          4       2       10      7       8       4
Vardas200           Pavarde200          9       3       10      3       7       8
Vardas201           Pavarde201          1       1       7       9       1       3
Vardas202           Pavarde202          9       4       10      8       2       1
Vardas203           Pavarde203          5       1       9       10      8       8
Vardas204           Pavarde204          4       8       7       9       1       8
Vardas205           Pavarde205          8       1       5       9       10      7
Vardas206           Pavarde206          4       2       6       9       7       7
Vardas207           Pavarde207          2       10      5       3       4       7
Vardas208           Pavarde208          3       3       3       6       9       4
Vardas209           Pavarde209          6       3       6       3       6       1
Vardas210           Pavarde210          10      6       3       9       8       10
Vardas211           Pavarde211          1       8       8       6       4       7
Vardas212           Pavarde212          9       4       2       4       9       10
Vardas213           Pavarde213          8       4       9       9       1       7
Vardas214           Pavarde214          7       6       9       8       1       7
Vardas215           Pavarde215          8       2       4       7       10      4
Vardas216           Pavarde216          2       4       4       5       8       7
Vardas217           Pavarde217          2       7       10      3       7       10
Vardas218           Pavarde218          6       6       9       4       10      10
Vardas219           Pavarde219          3       2       1       10      10      1
Vardas220           Pavarde220          4       3       1       6       9       6
Vardas221           Pavarde221          4       4       10      5       10      6
Vardas222           Pavarde222          5       4       2       1       4       4
Vardas223           Pavarde223          8       7       4       2       1       6
Vardas224           Pavarde224          6       5       5       5       4       9
Vardas225           Pavarde225          8       1       9       6       10      9
Vardas226           Pavarde226          3       5       8       7       8       1
Vardas227           Pavarde227          3       3       9       2       9       7
Vardas228           Pavarde228          1       6       1       3       9       3
Vardas229           Pavarde229          1       9       9       9       5       2
Vardas230           Pavarde230          2       5       2       9       6       5
Vardas231           Pavarde231          6       2       5       1       10      5
Vardas232           Pavarde232          4       7       6       10      10      5
Vardas233           Pavarde233          8       1       8       1       4       1
Vardas234           Pavarde234          4       2       5       4       1       5
Vardas235           Pavarde235          6       9       7       10      4       7
Vardas236           Pavarde236          2       6       1       9       1       4
Vardas237           Pavarde237          8       8       1       5       3       3
Vardas238           Pavarde238          7       10      9       3       1       7
Vardas239           Pavarde239          9       3       1       2       7       1
Vardas240           Pavarde240          3       10      4       4       8       4
Vardas241           Pavarde241          4       2       1       6       10      6
Vardas242           Pavarde242          3       9       9       10      7       10
Vardas243           Pavarde243          4       4       2       9       6       9
Vardas244           Pavarde244          4       3       1       5       1       1
Vardas245           Pavarde245          2       1       10      9       6       9
Vardas246           Pavarde246          9       8       9       6       4       7
Vardas247           Pavarde247          3       3       9       1       4       5
Vardas248           Pavarde248          1       3       1       7       7       3
Vardas249           Pavarde249          2       6       10      2       7       9
Vardas250           Pavarde250          8       4       8       2       2       7
Vardas251           Pavarde251          1       10      8       6       10      8
Vardas252           Pavarde252          7       4       9       4       4       3
Vardas253           Pavarde253          6       2       9       3       7       7
Vardas254           Pavarde254          2       6       9       2       7       4
Vardas255           Pavarde255          6       7       4       3       1       7
Vardas256           Pavarde256          5       4       4       6       10      1
Vardas257           Pavarde257          1       8       8       3       3       7
Vardas258           Pavarde258          3       4       3       5       3       3
Vardas259           Pavarde259          2       8       8       10      3       7
Vardas260           Pavarde260          9       1       4       3       4       5
Vardas261           Pavarde261          7       10      1       7       9       7
Vardas262           Pavarde262          4       7       1       5       8       1
Vardas263           Pavarde263          3       6       6       2       3       8
Vardas264           Pavarde264          2       2       10      10      10      5
Vardas265           Pavarde265          10      9       3       8       1       3
Vardas266           Pavarde266          10      10      9       6       3       10
Vardas267           Pavarde267          8       1       7       1       9       4
Vardas268           Pavarde268          1       3       6       1       7       10
Vardas269           Pavarde269          10      9       2       7       10      1
Vardas270           Pavarde270          8       4       7       6       7       7
Vardas271           Pavarde271          10      3       4       10      10      3
Vardas272           Pavarde272          7       3       9       4       2       6
Vardas273           Pavarde273          9       4       3       6       6       5
Vardas274           Pavarde274          4       10      4       2       8       7
Vardas275           Pavarde275          5       1       4       5       4       10
Vardas276           Pavarde276          7       3       2       4       1       4
Vardas277           Pavarde277          6       8       7       5       10      8
Vardas278           Pavarde278          4       9       8       4       7       1
Vardas279           Pavarde279          8       4       4       10      1       4
Vardas280           Pavarde280          10      6       3       2       6       5
Vardas281           Pavarde281          2       5       8       5       9       4
Vardas282           Pavarde282          9       2       7       3       3       3
Vardas283           Pavarde283          5       7       6       9       1       8
Vardas284           Pavarde284          7       6       1       9       8       1
Vardas285           Pavarde285          2       4       2       1       5       2
Vardas286           Pavarde286          1       3       6       1       1       2
Vardas287           Pavarde287          10      5       8       3       5       9
Vardas288           Pavarde288          7       9       8       3       9       3
Vardas289           Pavarde289          2       7       1       8       3       9
Vardas290           Pavarde290          8       10      10      6       5       6
Vardas291           Pavarde291          5       10      6       3       5       9
Vardas292           Pavarde292          10      5       4       1       5       5
Vardas293           Pavarde293          3       8       2       4       7       1
Vardas294           Pavarde294          10      6       4       9       10      1
Vardas295           Pavarde295          1       4       10      3       2       7
Vardas296           Pavarde296          5       5       2       9       6       9
Vardas297           Pavarde297          7       5       7       3       1       6
Vardas298           Pavarde298          4       5       1       7       1       8
Vardas299           Pavarde299          2       1       9       4       5       4
Vardas300           Pavarde300          4       5       8       10      8       8
Vardas301           Pavarde301          4       7       2       9       5       3
Vardas302           Pavarde302          10      2       6       5       5       1
Vardas303           Pavarde303          2       6       10      5       5       10
Vardas304           Pavarde304          3       2       10      7       4       2
Vardas305           Pavarde305          4       9       6       9       6       10
Vardas306           Pavarde306          9       10      2       8       1       3
Vardas307           Pavarde307          4       5       9       1       2       9
Vardas308           Pavarde308          10      9       10      1       3       5
Vardas309           Pavarde309          4       7       4       2       2       1
Vardas310           Pavarde310          9       10      4       5       5       2
Vardas311           Pavarde311          8       9       9       3       7       4
Vardas312           Pavarde312          6       5       6       5       6       6
Vardas313           Pavarde313          9       7       4       8       9       2
Vardas314           Pavarde314          7       7       1       4       8       9
Vardas315           Pavarde315          1       9       9       6       1       1
Vardas316           Pavarde316          6       2       3       7       4       10
Vardas317           Pavarde317          10      9       1       6       10      9
Vardas318           Pavarde318          4       5       3       1       1       6
Vardas319           Pavarde319          10      5       7       3       4       7
Vardas320           Pavarde320          4       8       7       5       7       6
Vardas321           Pavarde321          2       2       5       3       5       5
Vardas322           Pavarde322          9       3       8       3       1       4
Vardas323           Pavarde323          6       9       10      9       8       3
Vardas324           Pavarde324          8       7       2       7       1       4
Vardas325           Pavarde325          5       5       10      6       8       1
Vardas326           Pavarde326          5       4       7       8       1       4
Vardas327           Pavarde327          2       9       6       6       8       2
Vardas328           Pavarde328          10      8       7       4       10      8
Vardas329           Pavarde329          8       2       7       10      3       10
Vardas330           Pavarde330          6       4       1       3       10      6
Vardas331           Pavarde331          7       3       1       7       5       1
Vardas332           Pavarde332          1       9       7       7       6       6
Vardas333           Pavarde333          8       7       3       4       10      6
Vardas334           Pavarde334          10      7       7       10      6       10
Vardas335           Pavarde335          7       3       10      10      6       9
Vardas336           Pavarde336          5       6       9       5       7       4
Vardas337           Pavarde337          7       4       3       1       7       9
Vardas338           Pavarde338          10      4       6       6       6       7
Vardas339           Pavarde339          3       2       5       1       6       8
Vardas340           Pavarde340          5       7       5       9       9       2
Vardas341           Pavarde341          4       6       5       3       2       10
Vardas342           Pavarde342          6       6       8       7       5       10
Vardas343           Pavarde343          1       3       9       10      7       9
Vardas344           Pavarde344          5       4       3       9       5       9
Vardas345           Pavarde345          2       2       8       9       10      10
Vardas346           Pavarde346          4       9       3       6       1       5
Vardas347           Pavarde347          9       10      10      5       4       10
Vardas348           Pavarde348          6       6       10      5       5       10
Vardas349           Pavarde349          10      4       7       1       8       1
Vardas350           Pavarde350          4       6       4       1       6       9
Vardas351           Pavarde351          1       5       1       9       2       9
Vardas352           Pavarde352          1       9       1       10      9       10
Vardas353           Pavarde353          5       7       6       10      8       5
Vardas354           Pavarde354          10      3       7       1       6       7
Vardas355           Pavarde355          1       1       9       10      2       9
Vardas356           Pavarde356          8       1       10      8       2       8
Vardas357           Pavarde357          8       7       7       9       6       3
Vardas358           Pavarde358          8       6       7       8       9       1
Vardas359           Pavarde359          3       4       2       3       3       6
Vardas360           Pavarde360          2       6       1       8       2       10
Vardas361           Pavarde361          2       7       7       4       3       9
Vardas362           Pavarde362          10      8       3       2       2       2
Vardas363           Pavarde363          5       4       6       2       10      3
Vardas364           Pavarde364          2       1       8       2       2       5
Vardas365           Pavarde365          7       9       8       1       10      3
Vardas366           Pavarde366          7       6       1       5       5       4
Vardas367           Pavarde367          2       7       1       8       2       1
Vardas368           Pavarde368          4       7       7       2       1       7
Vardas369           Pavarde369          10      2       9       4       10      1
Vardas370           Pavarde370          7       2       7       1       5       10
Vardas371           Pavarde371          7       1       5       5       8       8
Vardas372           Pavarde372          6       7       5       8       1       10
Vardas373           Pavarde373          10      8       5       10      10      3
Vardas374           Pavarde374          5       2       2       2       2       1
Vardas375           Pavarde375          1       1       8       1       7       3
Vardas376           Pavarde376          9       4       9       10      1       3
Vardas377           Pavarde377          6       8       9       5       2       10
Vardas378           Pavarde378          1       7       7       4       2       10
Vardas379           Pavarde379          1       10      10      4       7       5
Vardas380           Pavarde380          2       6       4       4       5       9
Vardas381           Pavarde381          6       3       8       2       8       1
Vardas382           Pavarde382          7       5       1       10      2       2
Vardas383           Pavarde383          5       9       1       8       8       8
Vardas384           Pavarde384          1       1       1       5       2       9
Vardas385           Pavarde385          4       9       8       6       6       10
Vardas386           Pavarde386          9       2       2       2       10      9
Vardas387           Pavarde387          8       10      3       8       3       2
Vardas388           Pavarde388          3       3       6       5       10      7
Vardas389           Pavarde389          5       10      6       8       2       9
Vardas390           Pavarde390          3       10      7       10      2       2
Vardas391           Pavarde391          7       9       10      7       3       8
Vardas392           Pavarde392          5       4       8       1       5       6
Vardas393           Pavarde393          2       6       1       7       1       3
Vardas394           Pavarde394          2       2       9       6       4       5
Vardas395           Pavarde395          4       6       3       10      8       10
Vardas396           Pavarde396          8       3       8       4       8       2
Vardas397           Pavarde397          7       3       10      2       9       8
Vardas398           Pavarde398          6       8       8       6       6       4
Vardas399           Pavarde399          4       2       5       3       9       8
Vardas400           Pavarde400          2       5       10      1       10      6
Vardas401           Pavarde401          6       7       2       6       4       2
Vardas402           Pavarde402          8       10      1       3       6       8
Vardas403           Pavarde403          10      5       6       8       5       8
Vardas404           Pavarde404          3       5       1       6       4       6
Vardas405           Pavarde405          1       2       6       9       9       3
Vardas406           Pavarde406          6       1       2       7       2       8
Vardas407           Pavarde407          1       5       8       5       3       3
Vardas408           Pavarde408          1       6       4       6       3       7
Vardas409           Pavarde409          8       7       8       8       8       4
Vardas410           Pavarde410          9       8       8       7       6       8
Vardas411           Pavarde411          10      6       1       4       5       2
Vardas412           Pavarde412          4       2       1       4       2       4
Vardas413           Pavarde413          10      5       7       1       1       7
Vardas414           Pavarde414          2       7       2       2       7       1
Vardas415           Pavarde415          6       4       1       8       4       10
Vardas416           Pavarde416          6       3       6       3       4       8
Vardas417           Pavarde417          1       10      8       8       9       9
Vardas418           Pavarde418          10      4       5       2       10      10
Vardas419           Pavarde419          9       8       9       3       10      7
Vardas420           Pavarde420          1       1       6       10      4       10
Vardas421           Pavarde421          8       5       8       2       3       2
Vardas422           Pavarde422          2       6       5       6       1       5
Vardas423           Pavarde423          10      6       9       10      9       4
Vardas424           Pavarde424          5       8       9       6       9       6
Vardas425           Pavarde425          2       3       10      5       4       10
Vardas426           Pavarde426          10      5       7       1       4       4
Vardas427           Pavarde427          5       8       1       4       10      10
Vardas428           Pavarde428          8       10      1       9       6       1
Vardas429           Pavarde429          10      8       1       2       10      3
Vardas430           Pavarde430          4       3       7       6       6       3
Vardas431           Pavarde431          7       2       4       9       7       4
Vardas432           Pavarde432          8       5       9       3       5       7
Vardas433           Pavarde433          2       2       2       10      7       8
Vardas434           Pavarde434          9       7       4       2       10      5
Vardas435           Pavarde435          10      2       4       9       10      4
Vardas436           Pavarde436          8       6       6       7       8       4
Vardas437           Pavarde437          1       8       7       10      4       8
Vardas438           Pavarde438          5       3       2       4       9       10
Vardas439           Pavarde439          10      10      2       3       1       10
Vardas440           Pavarde440          10      4       6       8       2       9
Vardas441           Pavarde441          9       9       1       10      3       7
Vardas442           Pavarde442          4       2       10      1       8       9
Vardas443           Pavarde443          10      6       7       8       4       2
Vardas444           Pavarde444          1       7       8       7       5       3
Vardas445           Pavarde445          5       2       9       5       9       3
Vardas446           Pavarde446          2       10      10      7       3       3
Vardas447           Pavarde447          7       7       9       1       2       1
Vardas448           Pavarde448          4       1       6       7       9       1
Vardas449           Pavarde449          2       6       3       4       2       8
Vardas450           Pavarde450          5       7       4       4       2       3
Vardas451           Pavarde451          9       1       5       4       8       4
Vardas452           Pavarde452          2       10      4       9       7       4
Vardas453           Pavarde453          6       8       3       3       3       1
Vardas454           Pavarde454          10      3       7       8       8       4
Vardas455           Pavarde455          3       8       3       2       1       3
Vardas456           Pavarde456          6       8       7       3       7       2
Vardas457           Pavarde457          6       9       2       10      9       4
Vardas458           Pavarde458          10      7       3       5       2       5
Vardas459           Pavarde459          7       3       8       8       9       5
Vardas460           Pavarde460          7       1       9       3       9       1
Vardas461           Pavarde461          5       3       4       2       8       6
Vardas462           Pavarde462          10      9       4       6       5       2
Vardas463           Pavarde463          5       6       7       7       9       4
Vardas464           Pavarde464          7       2       7       3       1       1
Vardas465           Pavarde465          2       5       7       4       9       9
Vardas466           Pavarde466          5       6       7       6       5       8
Vardas467           Pavarde467          6       8       7       2       1       10
Vardas468           Pavarde468          4       3       10      9       8       3
Vardas469           Pavarde469          1       8       4       10      9       10
Vardas470           Pavarde470          8       10      4       2       1       3
Vardas471           Pavarde471          2       2       9       5       1       9
Vardas472           Pavarde472          6       9       4       4       4       2
Vardas473           Pavarde473          10      4       2       5       5       2
Vardas474           Pavarde474          4       7       7       8       8       2
Vardas475           Pavarde475          2       6       9       8       2       6
Vardas476           Pavarde476          2       10      4       6       2       3
Vardas477           Pavarde477          6       8       10      7       2       8
Vardas478           Pavarde478          5       8       9       8       5       6
Vardas479           Pavarde479          1       10      7       9       6       6
Vardas480           Pavarde480          5       6       9       6       3       9
Vardas481           Pavarde481          3       3       5       2       2       10
Vardas482           Pavarde482          4       4       6       7       8       2
Vardas483           Pavarde483          9       10      3       9       5       10
Vardas484           Pavarde484          3       1       6       3       5       9
Vardas485           Pavarde485          7       8       3       9       2       4
Vardas486           Pavarde486          4       4       8       1       9       8
Vardas487           Pavarde487          5       8       1       3       8       6
Vardas488           Pavarde488          7       5       8       6       8       9
Vardas489           Pavarde489          3       4       6       6       9       4
Vardas490           Pavarde490          5       1       6       1       8       8
Vardas491           Pavarde491          2       4       6       6       9       4
Vardas492           Pavarde492          10      2       5       9       8       10
Vardas493           Pavarde493          7       8       1       4       5       4
Vardas494           Pavarde494          10      7       3       2       3       4
Vardas495           Pavarde495          8       5       3       6       8       6
Vardas496           Pavarde496          7       10      2       1       4       6
Vardas497           Pavarde497          4       4       4       1       10      7
Vardas498           Pavarde498          3       9       9       7       6       6
Vardas499           Pavarde499          9       8       8       5       8       3
Vardas500           Pavarde500          3       8       2       8       6       7
Vardas501           Pavarde501          2       1       7       10      10      7
Vardas502           Pavarde502          10      1       10      9       3       9
Vardas503           Pavarde503          7       5       1       7       5       5
Vardas504           Pavarde504          4       9       8       3       7       1
Vardas505           Pavarde505          3       9       6       7       6       1
Vardas506           Pavarde506          2       4       2       1       6       10
Vardas507           Pavarde507          10      7       9       1       2       6
Vardas508           Pavarde508          10      1       7       3       5       9
Vardas509           Pavarde509          1       5       4       3       3       7
Vardas510           Pavarde510          5       4       6       2       4       8
Vardas511           Pavarde511          10      2       9       2       2       10
Vardas512           Pavarde512          6       5       10      1       1       3
Vardas513           Pavarde513          10      5       5       9       5       1
Vardas514           Pavarde514          10      9       2       5       9       5
Vardas515           Pavarde515          5       1       8       9       8       5
Vardas516           Pavarde516          9       5       7       9       4       5
Vardas517           Pavarde517          9       2       9       5       10      10
Vardas518           Pavarde518          10      3       5       4       6       6
Vardas519           Pavarde519          6       4       2       7       7       5
Vardas520           Pavarde520          7       8       9       2       2       6
Vardas521           Pavarde521          1       8       10      9       5       10
Vardas522           Pavarde522          7       5       6       3       8       4
Vardas523           Pavarde523          6       2       5       1       4       7
Vardas524           Pavarde524          4       1       10      2       1       8
Vardas525           Pavarde525          8       9       4       8       3       8
Vardas526           Pavarde526          5       5       7       7       7       8
Vardas527           Pavarde527          7       3       4       4       6       7
Vardas528           Pavarde528          10      1       4       1       4       6
Vardas529           Pavarde529          3       6       4       7       9       4
Vardas530           Pavarde530          9       10      2       5       8       9
Vardas531           Pavarde531          7       1       5       5       8       2
Vardas532           Pavarde532          6       9       10      7       6       2
Vardas533           Pavarde533          6       8       7       5       2       9
Vardas534           Pavarde534          3       7       5       7       2       9
Vardas535           Pavarde535          10      2       3       6       4       1
Vardas536           Pavarde536          2       4       6       3       2       8
Vardas537           Pavarde537          3       2       6       8       5       8
Vardas538           Pavarde538          5       8       10      10      5       3
Vardas539           Pavarde539          2       4       2       3       3       6
Vardas540           Pavarde540          10      1       10      1       10      3
Vardas541           Pavarde541          6       9       8       5       3       6
Vardas542           Pavarde542          1       7       2       1       2       10
Vardas543           Pavarde543          10      4       5       2       6       9
Vardas544           Pavarde544          10      6       4       3       6       9
Vardas545           Pavarde545          3       6       5       4       9       5
Vardas546           Pavarde546          3       10      1       2       10      7
Vardas547           Pavarde547          1       9       1       1       5       5
